L1PhaseSet,L2PhaseSet,currentProfileBinData,maximizeMe
-29.210520626692706,-41.95061282630043,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   1   4   9  18  29  41  51  59  66  72  81
  94 111 133 159 186 210 232 258 295 346 401 447 476 489 499 521 576 667
 764 801 724 545 337 171  71  24   7   1   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.0030977275506667294
-29.217818843755936,-41.913146694246656,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   2   6  13  23  33  41  47  53  59  66  76
  89 110 137 171 208 245 276 298 311 321 337 366 405 448 491 542 615 704
 778 788 704 541 352 192  87  32   9   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.003095055713400005
-29.22569688837995,-41.96656479460888,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   2   5  11  20  30  40  49  57  64  72  81
  95 115 139 165 187 207 226 249 282 323 369 414 458 500 542 590 653 727
 784 776 672 496 309 162  72  27   9   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.0030895704989167155
-29.222112237250826,-41.9584942472587,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   1   3   8  16  25  35  43  49  54  59  65  74
  87 104 124 148 176 208 243 276 308 342 382 425 463 492 518 556 621 712
 790 795 692 508 312 160  69  25   8   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.003085200326594141
-29.23516369051567,-41.94422876414312,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   1   3   7  14  22  32  40  47  54  61  69  80
  95 116 141 166 189 211 233 257 280 306 343 397 463 521 558 585 630 706
 779 786 688 509 316 165  73  28   9   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.0030653077967637073
-29.229080755442354,-42.00941597691342,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   1   4  10  18  29  40  50  58  66  73  82
  94 110 130 153 178 205 235 269 308 349 389 427 462 490 511 541 606 707
 797 804 695 507 311 161  71  27   8   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.003026373241858696
-29.23547586993664,-42.0761305647228,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   1   5  11  20  32  43  52  58  64  70
  79  91 110 140 181 232 286 335 369 386 395 409 439 478 513 550 614 711
 800 804 688 491 290 144  60  21   6   1   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.0030246146602829
-29.24187376523254,-42.06040282169161,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   1   3   7  14  24  35  45  54  62  69  76
  84  97 116 146 183 223 258 286 308 329 359 410 477 542 584 611 658 734
 793 768 637 447 269 144  71  33  13   5   1   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.0030042223976214154
-29.22943317871865,-42.01900552917692,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   2   5  10  19  29  40  50  59  66  71  76
  84  99 122 153 186 216 242 266 297 335 380 429 478 516 538 554 600 692
 789 809 705 509 304 152  64  23   7   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.0029859794046184856
-29.211026321820015,-41.92493537412335,"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   1   3   7  14  23  33  42  49  56  65  75  87
 101 117 136 155 177 200 226 255 288 324 366 412 458 496 524 555 613 703
 787 801 706 524 324 168  73  27   8   2   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]",0.0029599533799174243
