0,1,2,3,4,5,6
1e-06,-1.25648451371375e-06,-2.04639819505752e-07,-1.14686645146054e-06,-2.09935113745295e-07,-1.15327904937022e-06,-1.89393580489139e-07
1e-06,-3.3851385159117e-07,3.87895606225578e-07,-7.85989778299329e-07,4.66419074348191e-07,-1.08353201225453e-06,4.55967520558122e-07
1e-06,-9.5690217964328e-07,-3.56528964052377e-07,-1.37720118833732e-06,-3.98917942003342e-07,-1.38976251049894e-06,-3.8827690395466e-07
1e-06,-1.57330378683409e-06,-2.03888568792189e-07,-1.24629229288419e-06,-2.00186838439205e-07,-1.073546165719e-06,-2.36267248742168e-07
1e-06,-3.93195161876946e-07,6.5448539094098e-07,-9.15671499767753e-07,7.45847339778639e-07,-1.28166479577486e-06,7.14613138141473e-07
1e-06,-1.79910828425979e-07,-2.77991591040682e-07,1.49109660840506e-07,-2.62576128069763e-07,4.2312032686814e-07,-3.14121994062455e-07
1e-06,-1.07119030526465e-06,-3.2258756203686e-07,-1.23070338307401e-06,-3.34320902328628e-07,-1.26774810144042e-06,-3.10092592766721e-07
1e-06,2.53092177684944e-06,2.75372445699328e-07,3.03842148622002e-06,2.50093168451413e-07,3.24164446877522e-06,2.53584063573223e-07
1e-06,-2.19371084531027e-06,-1.21070544590288e-06,-1.44889626069282e-06,-1.26850564056769e-06,-9.4897068904309e-07,-1.26337299650769e-06
1e-06,-1.78393730323905e-06,-1.28203368465718e-06,-8.43531895716066e-07,-1.36756495109274e-06,-2.90110218081442e-07,-1.32862199732158e-06
1e-06,1.02612732260136e-06,4.77581540983309e-07,6.39169400693883e-07,5.09509692534247e-07,3.87126423163918e-07,4.9880379525216e-07
1e-06,-1.55323332772124e-06,1.90789721579812e-07,-1.56804072145079e-06,2.69125751727878e-07,-1.63198052935587e-06,2.23346420554295e-07
1e-06,8.01757517451085e-06,1.01858259030087e-06,7.53386623343366e-06,8.59271203948787e-07,7.45199844025615e-06,8.88157320742049e-07
1e-06,5.12914937866353e-07,-4.89905453994658e-08,1.28699725001033e-07,-5.72550200647325e-08,6.47291999761142e-08,-5.30553175057565e-08
1e-06,1.02606009609993e-06,2.42701779963879e-07,1.9525783053734e-06,2.30661652395906e-07,2.29549948314305e-06,1.85675530120247e-07
1e-06,1.62059200374666e-06,-4.49681597267405e-07,1.2248268601306e-06,-5.35935943391007e-07,1.35196397564279e-06,-5.17184062366168e-07
1e-06,-6.87995405432785e-06,-7.09989762391647e-07,-6.43395688543655e-06,-5.78298209903052e-07,-6.39216830412307e-06,-5.97186371146999e-07
1e-06,6.28014898902898e-07,2.99511016427165e-07,1.22902933110254e-07,2.63634917577436e-07,-9.34559119734585e-08,2.70674615349214e-07
1e-06,4.11925761629075e-06,-5.70235546939533e-08,5.3490730321018e-06,-1.81248231747455e-07,5.93957889954902e-06,-1.669370375532e-07
1e-06,-4.99184454840913e-07,4.04441862888126e-07,-3.73177466008463e-07,4.41817222368263e-07,-4.73450773150111e-07,4.1784784664599e-07
1e-06,-3.61454071580101e-07,-5.60120215514385e-07,-9.8387141377573e-08,-5.76258345615102e-07,1.66569953948441e-07,-5.8734624400043e-07
1e-06,-3.42167504356155e-06,-5.58890877182678e-07,-3.53067949779152e-06,-4.92646570984589e-07,-3.61890246938644e-06,-4.83888091919721e-07
1e-06,5.78754599137454e-07,5.35311741933912e-07,1.44186237945992e-07,5.72534272127862e-07,-2.10062492829643e-07,5.94250614123888e-07
1e-06,-9.36744546182104e-07,-1.06691233225468e-07,-5.09068929838255e-07,-1.31611798832012e-07,-4.40161045088827e-07,-1.13197543510654e-07
1e-06,-1.16386133259573e-06,1.47547615858204e-07,-1.21995981303575e-06,2.05386224961394e-07,-1.25883144837908e-06,1.63324978476581e-07
1e-06,1.22239802690901e-06,-2.17703833694798e-07,1.58505240195908e-06,-2.67481392123345e-07,1.81705495005651e-06,-2.73811858014854e-07
1e-06,7.67283737243039e-06,6.20117523455196e-07,6.48287509244996e-06,4.82961039949794e-07,6.25161142859612e-06,5.4047124135808e-07
1e-06,-6.48976716025772e-07,-6.60959595602796e-07,-2.2230987372085e-07,-7.10048356481006e-07,1.56554236884932e-07,-7.17549628839854e-07
1e-06,-1.90692995198813e-06,2.34411267310684e-07,-2.16337677435659e-06,3.25215667485913e-07,-2.39753263788182e-06,3.14571768752463e-07
1e-06,1.08941195685439e-06,-4.16295635801935e-07,2.01100203702466e-06,-4.89571452263913e-07,2.46093741851248e-06,-4.76406813898632e-07
1e-06,4.08956826670878e-06,-1.20637708859238e-07,3.55828886199286e-06,-2.22675242461549e-07,3.58192719611742e-06,-1.72444531040758e-07
1e-06,-3.83720928795624e-06,2.69555667997837e-07,-3.96944749375545e-06,3.92457457612028e-07,-4.31036307498099e-06,3.7979560547284e-07
1e-06,9.2854300279045e-07,4.33838195428552e-07,7.96090958480308e-07,4.25253322906392e-07,6.38224479045558e-07,4.36768795515193e-07
1e-06,1.54341343048775e-06,-3.93967778038249e-07,1.6919083183787e-06,-4.82579776382325e-07,1.94065573023006e-06,-4.51226215785507e-07
1e-06,-2.77360306924279e-08,7.5682744990011e-07,-7.83117787227695e-07,8.59523328215779e-07,-1.21366524621864e-06,8.22244708792155e-07
1e-06,7.86806307636951e-07,4.60239380280951e-07,9.50169115489786e-07,4.94261111790131e-07,9.5643216648579e-07,4.75551512455092e-07
1e-06,-3.7761426467143e-06,2.55826297499796e-08,-3.59264967326073e-06,1.20229934944336e-07,-3.72718079127398e-06,9.01759521043709e-08
1e-06,1.84719381824039e-06,3.1778542557333e-07,1.1357633803764e-06,2.81641945586921e-07,8.11177208154533e-07,3.11487618331423e-07
1e-06,1.0062153802672e-06,-2.52793912937909e-07,1.22099792036851e-06,-3.17574665065537e-07,1.43275805816464e-06,-3.27907805307041e-07
1e-06,-8.88905575578446e-06,-3.35909966786195e-07,-8.53550376617508e-06,-1.15458291886017e-07,-8.80857402644363e-06,-1.53653002626038e-07
1e-06,3.48285922128852e-07,-2.15490674283887e-07,5.06001672937056e-07,-2.55100126843971e-07,6.3860303391207e-07,-2.28071553578269e-07
1e-06,-4.06792369155947e-06,-1.5504318496373e-07,-3.56903149805594e-06,-2.44967299491808e-08,-3.50932953664545e-06,-7.3146709877842e-08
1e-06,-4.27119784813549e-06,5.50779352644711e-07,-4.24077811341428e-06,7.39468045977888e-07,-4.62761874950478e-06,7.06118560082821e-07
1e-06,-2.1184516933412e-06,-2.52680421561048e-07,-2.92603746863485e-06,-2.10607965384872e-07,-3.14551536589755e-06,-2.14860392480497e-07
1e-06,-6.74463081093277e-07,6.46763617848068e-07,-1.0070175659404e-06,7.92145798052266e-07,-1.23453097620636e-06,7.15985702269463e-07
1e-06,-4.66387596405378e-06,-3.80396507408449e-07,-4.68501460592747e-06,-2.95055601162517e-07,-4.89119173962786e-06,-2.71161271702631e-07
1e-06,4.27708019730741e-06,9.77770812917226e-07,3.68994370439369e-06,9.70357455393609e-07,3.39489451409001e-06,9.80844822322477e-07
1e-06,2.95022693127666e-06,6.75633000624817e-07,2.36881576084416e-06,6.47035343057719e-07,2.14620957365628e-06,6.40743844503703e-07
1e-06,4.0647149860833e-06,1.39818892672976e-07,4.50724922101509e-06,4.90380110529646e-08,4.7281564685974e-06,8.57418604656285e-08
1e-06,4.03249863887349e-06,1.12094958720919e-07,3.86855246824104e-06,2.17035001921804e-09,3.9764641865882e-06,1.85978633400088e-08
2e-06,5.71177065988068e-06,1.05800358477222e-06,4.48661638925846e-06,1.0622349775993e-06,4.01042371457138e-06,1.08943924264409e-06
2e-06,-1.13461848123245e-05,-3.07127652045825e-06,-9.00669242058015e-06,-3.09862574130027e-06,-7.87909296102571e-06,-3.11093246876236e-06
2e-06,6.42604831707051e-06,-7.79553405305604e-08,4.58264547941799e-06,-2.28088068561208e-07,4.248910721e-06,-1.30070850716742e-07
2e-06,-8.70795289416054e-06,1.90866972812529e-07,-8.6146392279872e-06,4.51358715354415e-07,-9.0940643783819e-06,4.18818654114242e-07
2e-06,1.78942530889587e-05,2.61323256154295e-06,1.45049870544547e-05,2.43693033428865e-06,1.35762775108057e-05,2.48194023077955e-06
2e-06,6.89032026970883e-06,3.6468901308378e-07,6.73771664465832e-06,1.63973172757044e-07,6.82814308040829e-06,2.31994276268006e-07
2e-06,5.59593794126569e-06,1.3325268433355e-06,4.8055575475848e-06,1.39759824817989e-06,4.4968558711691e-06,1.35995805630432e-06
2e-06,-2.37109420459334e-05,1.12254229062658e-07,-2.16972669673192e-05,8.92760761412476e-07,-2.20151055713488e-05,6.05554748707734e-07
2e-06,-6.1460388380354e-06,-8.66323892897943e-07,-6.36887529668751e-06,-8.32486664431882e-07,-6.6029782606013e-06,-7.63285261664251e-07
2e-06,2.22830718602906e-06,-1.33753142270149e-06,1.53357756115381e-06,-1.51444974583821e-06,1.71862484384092e-06,-1.39712004491702e-06
2e-06,6.80039114861916e-06,4.24016467527231e-07,7.34704317371301e-06,2.92493789475073e-07,7.82373662290385e-06,2.84932245811715e-07
2e-06,-1.07114112262342e-05,-4.14782573620466e-07,-8.77470988471278e-06,-1.30097319839763e-07,-8.54472013377492e-06,-2.37901774064332e-07
2e-06,-4.38140854686118e-06,-1.76994968235523e-06,-3.31571510311349e-06,-1.85874025580526e-06,-2.72638377823267e-06,-1.81270464814237e-06
2e-06,-9.92665793707222e-06,-5.2932697576626e-07,-9.73450377026316e-06,-2.68393409838807e-07,-9.95735184641104e-06,-3.28883017331677e-07
2e-06,-1.32325356522367e-05,-1.02069258308929e-06,-1.13465463563789e-05,-7.30695404307389e-07,-1.10250385254144e-05,-8.29502965389074e-07
2e-06,-3.79339044069067e-06,1.34038764606405e-06,-5.02603642945499e-06,1.56941506816267e-06,-6.1363284231146e-06,1.57335270165307e-06
2e-06,6.18836020132541e-06,9.09430203241424e-07,5.53986728697616e-06,8.06433994223656e-07,5.42908726515248e-06,8.38265832806234e-07
2e-06,2.87397384089954e-07,1.35777000198711e-06,-6.18236193899546e-07,1.50993761955729e-06,-1.24799656004725e-06,1.47102752060204e-06
2e-06,2.4339792871177e-06,-1.82089484518231e-08,2.96430830823554e-06,-2.28479731314674e-07,2.97650570752493e-06,-9.17056286157762e-08
2e-06,6.37081082767717e-06,-1.11627231168286e-06,5.27489357466381e-06,-1.36660964013237e-06,5.57566252219625e-06,-1.2944420313361e-06
2e-06,9.81141376087485e-06,2.12542635171723e-06,7.63487592218605e-06,2.10023412562881e-06,6.7359187516073e-06,2.09917219149665e-06
2e-06,-1.8809026695354e-05,-2.36255960682931e-06,-1.70150420222249e-05,-2.05448716049851e-06,-1.66849986158413e-05,-2.11768225482317e-06
2e-06,7.89699083520428e-06,2.21287715872373e-07,6.08415492215056e-06,1.11167749629876e-07,5.8781608558781e-06,1.25652385028005e-07
2e-06,-6.7721872103428e-06,-4.34576744615807e-07,-6.8180232270657e-06,-3.26005653473941e-07,-7.0695203526246e-06,-3.296552309399e-07
2e-06,-4.63081729560742e-06,-1.07377868238282e-07,-4.01382758734299e-06,-6.87462833063363e-08,-3.97305872561873e-06,-1.0568325130544e-07
2e-06,9.99569826255175e-07,-2.35163653086647e-07,2.32572850090751e-07,-2.81538528191371e-07,1.08803935132196e-07,-2.57242951449375e-07
2e-06,5.2402389245435e-06,1.30747365490996e-06,5.40136483555945e-06,1.39783946288787e-06,5.41934407114299e-06,1.32073687532299e-06
2e-06,-4.28255150804489e-06,-1.54591113217434e-07,-4.43849655607334e-06,-1.63673940040799e-07,-4.66692568544177e-06,-1.72224539918995e-07
